claim_id,is_fraud,group_id,name,phone,address,bank_account,hospital,age,gender,occupation,region,marital_status,driving_years,annual_income,accident_type,accident_date,accident_season,accident_time,accident_weather,vehicle_age,vehicle_type,vehicle_value,coverage_type,policy_premium,policy_duration,past_claims_count,past_claims_total,past_fraud_count,medical_expense,vehicle_repair_cost,third_party_injury,third_party_medical,third_party_property_damage,total_claim_amount,deductible,claim_amount,hospital_days,disability_level,police_report,witness_present,photos_provided,repair_invoice,medical_invoice,claim_processing_days,claim_ratio,expense_to_value_ratio,same_day_claim,high_value_ratio,suspicious_time,fraud_indicators
CLAIM00008329,0,,陈磊,15998847036,苏州市洪山区建设路286号,6227417061075891,中心医院,45,女,其他,华南,未婚,25,170915,单 vehicle 事故,2023-05-24,夏,夜间,晴,6,摩托车,200901,商业险-基本,7296,3,0,0,0,4848,5126,1,1995,1464,13433,2000,11433,0,0,1,0,1,0,1,21,1.5670230263157894,0.06686377867705985,0,0,1,2
CLAIM00003338,0,,吴勇,13881404532,深圳市武侯区珠江路516号,6216421672614822,中医院,49,女,学生,华东,已婚,31,209511,单 vehicle 事故,2023-05-11,夏,晚高峰,雾,4,轿车,86097,商业险-全险,5770,2,4,28764,0,874,13557,1,13999,8642,37072,500,36572,0,0,0,0,1,1,0,11,6.338301559792027,0.4305841086216709,0,0,0,2
CLAIM00005590,0,,马静勇,13720516940,广州市海淀区长江路533号,6221361414891636,中医院,30,男,退休人员,东北,已婚,6,150026,追尾事故,2023-06-23,夏,日间,雾,4,摩托车,246121,交强险,16809,3,2,10486,0,10399,12981,1,14187,7135,44702,2000,42702,4,1,0,1,1,0,0,39,2.540424772443334,0.18162611073415108,0,0,0,1
CLAIM00000252,1,,赵艳,15031346426,成都市和平区科技路761号,6225490355214441,第一人民医院,50,女,技术工人,华东,未婚,29,317835,盗窃,2023-02-14,春,早高峰,雨,3,新能源汽车,203240,交强险,11856,1,0,0,0,5567,28067,0,0,3498,37132,500,36632,5,5,1,0,0,1,1,47,3.08974358974359,0.18270025585514663,0,0,0,1
CLAIM00003974,0,,孙涛,15924404153,重庆市浦东新区人民路423号,6217494274604066,华西医院,38,男,自由职业,华南,离异,16,220532,翻滚事故,2023-11-14,冬,早高峰,晴,2,轿车,172335,商业险-基本,8185,2,2,7052,0,8948,11176,0,0,5877,26001,1000,25001,1,5,0,1,1,1,1,6,3.0544899205864384,0.1508747497606406,0,0,0,1
CLAIM00006631,0,,朱超,13763931257,深圳市渝中区中山路450号,6217832457787242,中医院,35,女,其他,东北,离异,15,109153,单 vehicle 事故,2023-06-17,夏,早高峰,雨,2,货车,50000,交强险,3007,1,2,33054,0,3579,13848,0,0,5314,22741,500,22241,11,1,1,1,1,1,1,1,7.396408380445627,0.45482,1,0,0,1
CLAIM00005548,0,,刘平,13718886206,广州市天河区科技路977号,6228504899275192,附属医院,66,男,服务业,华北,已婚,43,249350,行人事故,2023-03-14,春,早高峰,雾,6,新能源汽车,149093,商业险-全险,8228,3,0,0,0,4732,8669,0,0,3675,17076,5000,12076,0,0,1,0,0,1,0,27,1.467671366067088,0.11453254009242553,0,0,0,1
CLAIM00000036,1,FRAUD_GROUP_008,刘霞,15187105681,天津市鼓楼区珠江路270号,6217533369927606,湘雅医院,26,男,办公室职员,华北,丧偶,6,50427,单 vehicle 事故,2023-07-25,秋,早高峰,冰雹,0,摩托车,349604,商业险-基本,16683,2,2,8902,1,33111,23866,1,11628,6443,75048,0,75048,4,3,1,1,1,0,0,26,4.498471497932027,0.21466573608997608,0,0,0,1
CLAIM00008363,0,,吴磊,13771896952,上海市海淀区科技路328号,6225583595645565,瑞金医院,53,女,服务业,华中,离异,29,175245,多 vehicle 事故,2023-09-11,秋,夜间,雾,1,客车,66845,商业险-全险,2907,2,0,0,0,6387,21930,0,0,4512,32829,2000,30829,5,3,0,0,1,1,0,11,10.605091159270726,0.49112125065449924,0,0,0,2
CLAIM00001514,0,,张艳平,13916302515,北京市朝阳区松花江路876号,6228583146201247,北京协和医院,38,女,服务业,华东,离异,12,84799,行人事故,2023-08-24,秋,夜间,雨,7,SUV,193835,交强险,13150,3,1,13997,0,7537,15280,1,16506,7618,46941,1000,45941,0,0,1,0,1,1,0,36,3.4936121673003804,0.2421698867593572,0,0,0,1
CLAIM00009318,0,,李敏平,13926481737,郑州市西湖区建设路419号,6227175346111923,华西医院,54,男,办公室职员,华北,离异,29,134839,火灾,2023-02-17,春,夜间,冰雹,1,客车,90423,商业险-基本,5711,3,1,8943,0,0,18186,1,8165,3585,29936,1000,28936,4,5,1,0,1,0,1,1,5.066713360182105,0.3310662110303794,1,0,0,2
CLAIM00000040,1,,李平磊,15918602641,武汉市西湖区黄河路103号,6217108435877666,中心医院,36,男,自由职业,华东,已婚,15,144432,火灾,2023-09-02,秋,日间,雪,6,货车,122733,商业险-全险,7306,3,0,0,0,4642,15526,0,0,1333,21501,0,21501,6,5,0,1,1,1,0,60,2.9429236244182864,0.1751851580259588,0,0,0,1
CLAIM00004820,0,,黄涛,15132019440,重庆市西湖区科技路696号,6227709018529101,湘雅医院,40,女,学生,西北,已婚,19,184269,盗窃,2023-02-13,春,日间,晴,6,货车,232882,综合险,4765,2,0,0,0,2921,15739,1,6612,0,25272,2000,23272,7,2,1,0,0,0,1,30,4.883945435466947,0.10851847716869488,0,0,0,1
CLAIM00003466,0,,杨明,15085528634,北京市渝中区中山路850号,6226433366412634,宣武医院,58,女,医疗工作者,华东,离异,39,142266,侧面碰撞,2023-02-21,春,日间,雾,5,摩托车,232476,商业险-基本,14984,1,1,17066,0,5196,22324,0,0,2856,30376,500,29876,0,0,1,0,0,0,1,50,1.9938601174586226,0.1306629501539944,0,0,0,1
CLAIM00001761,0,,吴静平,13821124839,深圳市洪山区中山路763号,6228626087705376,人民医院,50,男,服务业,西南,已婚,25,239799,单 vehicle 事故,2023-12-05,冬,晚高峰,晴,2,新能源汽车,217402,综合险,11349,3,2,30824,0,6608,20146,1,11878,2147,40779,5000,35779,7,5,0,0,0,0,0,13,3.152612564983699,0.18757417135076954,0,0,1,3
CLAIM00002305,0,,黄霞洋,15984641278,重庆市浦东新区人民路724号,6221742329778839,附属医院,42,男,教育工作者,华中,丧偶,20,358412,侧面碰撞,2023-04-13,夏,日间,雾,6,货车,201768,交强险,10506,2,0,0,0,2208,21796,0,0,8014,32018,500,31518,7,2,1,0,1,1,1,2,3.0,0.1586872051068554,0,0,0,1
CLAIM00003724,0,,孙涛,15122555539,广州市浦东新区建设路435号,6227717145637967,华西医院,67,男,办公室职员,华北,未婚,40,325421,追尾事故,2023-06-16,夏,早高峰,雪,5,SUV,171951,综合险,12385,3,0,0,0,0,11003,0,0,6666,17669,500,17169,4,0,0,1,0,0,0,30,1.386273718207509,0.10275601770271764,0,0,0,1
CLAIM00008285,0,,周娜超,15130534180,西安市天河区长江路963号,6217848954833061,宣武医院,48,男,办公室职员,华南,未婚,24,101204,行人事故,2023-11-04,冬,夜间,晴,5,客车,297946,商业险-基本,22719,3,1,12109,0,5149,33403,1,10844,3402,52798,0,52798,0,0,0,0,1,0,1,10,2.3239579206831285,0.17720660790881568,0,0,1,3
CLAIM00004994,0,,王敏静,15116528953,北京市武侯区解放路945号,6226665679259313,上海瑞金医院,27,男,退休人员,东北,已婚,0,90418,火灾,2023-05-28,夏,早高峰,雾,3,轿车,176138,交强险,12067,1,1,11235,0,9591,18929,1,6017,5197,39734,1000,38734,12,1,0,0,0,0,0,3,3.209911328416342,0.22558448489252744,0,0,0,2
CLAIM00008128,0,,胡娟,18985265177,北京市浦东新区松花江路244号,6227152619418664,华西医院,54,女,办公室职员,华南,离异,30,171469,行人事故,2023-03-06,春,晚高峰,晴,6,货车,50000,商业险-基本,3410,2,1,16615,0,1417,2427,0,0,2699,6543,2000,4543,3,5,0,0,1,1,1,34,1.332258064516129,0.13086,0,0,1,3
CLAIM00003033,0,,孙勇,18878673836,苏州市福田区中山路405号,6227731843664015,人民医院,37,女,医疗工作者,华中,离异,12,152551,自然灾害,2023-04-16,夏,夜间,雾,5,客车,216394,商业险-全险,15485,3,1,15400,0,0,4798,1,1783,8904,15485,500,14985,0,0,1,1,0,1,0,20,0.9677106877623507,0.07155928537759827,0,0,0,0
CLAIM00007939,0,,杨明伟,15810966029,杭州市朝阳区解放路128号,6217227787165091,北京协和医院,57,男,退休人员,华南,未婚,35,75153,行人事故,2023-02-06,春,早高峰,晴,2,客车,119643,交强险,6765,1,0,0,0,8202,0,0,0,11160,19362,500,18862,4,0,1,0,0,0,1,43,2.7881744271988174,0.1618314485594644,0,0,0,1
CLAIM00003040,0,,张丽勇,18833056752,深圳市和平区建设路655号,6221141962345037,北京协和医院,34,女,其他,华北,离异,8,114481,自然灾害,2023-12-03,冬,早高峰,雾,1,摩托车,187553,商业险-全险,4184,2,0,0,0,3067,21304,1,6152,680,31203,500,30703,10,1,0,1,1,1,1,43,7.338193116634799,0.1663689730369549,0,0,0,1
CLAIM00009656,0,,徐芳,13939613339,深圳市洪山区人民路115号,6222301588798389,中心医院,47,男,自由职业,东北,离异,24,113382,翻滚事故,2023-10-18,冬,夜间,雪,9,轿车,188636,商业险-基本,6186,1,0,0,0,2957,0,1,10090,7095,20142,5000,15142,9,2,1,0,0,1,0,11,2.447785321694148,0.10677707330520156,0,0,0,1
CLAIM00002546,0,,杨平勇,13871639554,天津市福田区中山路15号,6222739687645664,宣武医院,64,男,技术工人,华东,离异,41,151963,多 vehicle 事故,2023-10-21,冬,早高峰,雨,5,轿车,202078,交强险,13101,1,0,0,0,6284,38125,0,0,4433,48842,2000,46842,4,5,0,0,0,1,1,48,3.575452255553011,0.24169874998762855,0,0,0,2
CLAIM00002593,0,,赵霞,15166572917,杭州市渝中区长江路468号,6228845318963460,广州中山医院,34,男,企业高管,华南,已婚,11,269079,火灾,2023-07-06,秋,夜间,晴,9,摩托车,112409,交强险,7987,2,1,10961,0,4026,22567,0,0,7042,33635,1000,32635,0,0,1,0,1,0,1,56,4.086014774007762,0.2992198133601402,0,0,1,2
CLAIM00001189,0,,王丽杰,13973525527,广州市武侯区长江路858号,6216478629167211,解放军总医院,50,女,办公室职员,西北,已婚,32,71865,侧面碰撞,2023-01-27,春,日间,雨,0,轿车,151386,交强险,8651,1,1,10140,0,6150,32039,1,18315,4164,60668,0,60668,7,5,1,0,1,1,1,59,7.012830886602705,0.4007503996406537,0,0,0,1
CLAIM00007967,0,,李磊强,18976807132,广州市鼓楼区建设路631号,6222101560702452,华西医院,25,男,服务业,东北,丧偶,4,162310,翻滚事故,2023-03-20,春,晚高峰,雾,9,摩托车,320145,商业险-全险,23025,3,1,11722,0,8197,29947,0,0,8302,46446,5000,41446,4,2,1,0,1,0,0,4,1.800043431053203,0.14507801152602726,0,0,0,1
CLAIM00006078,0,,陈艳,13958953694,西安市朝阳区珠江路402号,6228593726283803,人民医院,41,男,技术工人,华南,丧偶,22,198057,翻滚事故,2023-09-07,秋,晚高峰,雨,9,轿车,194586,交强险,10843,3,2,13778,0,5802,17490,0,0,3340,26632,0,26632,0,0,0,1,0,1,1,40,2.456146822835009,0.13686493375679648,0,0,0,1
CLAIM00000108,1,FRAUD_GROUP_022,朱芳娟,15819319320,上海市浦东新区人民路610号,6216761529645033,解放军总医院,46,女,自由职业,东北,丧偶,20,96350,侧面碰撞,2023-04-07,夏,早高峰,晴,9,摩托车,174995,交强险,12135,3,3,23934,2,0,56054,0,0,2039,58093,2000,56093,10,5,1,1,1,1,0,10,4.622414503502267,0.33196948484242406,0,0,0,1
CLAIM00001316,0,,李杰,13759369543,武汉市南山区解放路569号,6227117691161052,中医院,34,男,退休人员,华北,离异,12,112076,翻滚事故,2023-07-21,秋,早高峰,雪,8,货车,241305,综合险,12377,1,3,42372,0,2027,3508,1,10589,976,17100,0,17100,1,0,1,0,0,1,1,53,1.3815948937545448,0.07086467333872071,0,0,0,1
CLAIM00008188,0,,刘洋敏,13971994820,天津市洪山区科技路656号,6228419072161950,第一人民医院,42,男,学生,华北,未婚,16,53654,追尾事故,2023-08-25,秋,日间,雪,3,新能源汽车,50000,综合险,2865,3,1,12813,0,5579,23986,0,0,10369,39934,0,39934,7,0,0,0,0,0,0,12,13.938568935427574,0.79868,0,1,0,3
CLAIM00002754,0,,张明丽,15089504953,深圳市渝中区建设路548号,6227716088136853,北京协和医院,18,女,医疗工作者,西南,未婚,0,30000,火灾,2023-10-15,冬,日间,冰雹,0,摩托车,378666,综合险,16520,3,3,15186,0,11579,41187,1,6678,7618,67062,1000,66062,7,4,0,0,1,1,1,46,3.9989104116222762,0.17710066390961957,0,0,0,2
CLAIM00009754,0,,周军伟,13749249900,西安市西湖区黄河路528号,6222873347663993,上海瑞金医院,39,女,技术工人,东北,丧偶,19,279548,其他,2023-06-15,夏,夜间,晴,5,摩托车,81133,交强险,6012,3,1,11201,0,2965,25011,0,0,6215,34191,0,34191,10,0,1,1,1,1,0,20,5.687125748502994,0.4214191512701367,0,0,1,1
CLAIM00006232,0,,胡娜,15924592888,成都市海淀区人民路699号,6222603332191787,中心医院,42,女,学生,西北,未婚,20,253898,单 vehicle 事故,2023-03-15,春,早高峰,雾,3,摩托车,418624,商业险-基本,14586,3,1,4382,0,5187,14991,0,0,1996,22174,0,22174,0,0,1,1,0,1,1,59,1.5202248731660497,0.052968773887784745,0,0,0,0
CLAIM00002877,0,,刘杰,15979595220,长沙市天河区松花江路500号,6225232430555873,同济医院,50,男,退休人员,西南,已婚,26,360748,多 vehicle 事故,2023-03-26,春,晚高峰,雪,5,摩托车,412003,商业险-全险,20682,3,0,0,0,4807,14109,1,3678,7405,29999,5000,24999,1,1,0,0,0,0,1,52,1.2087322309254425,0.07281257660745188,0,0,0,2
CLAIM00005324,0,,胡军,18883081710,北京市浦东新区长江路233号,6227513140431222,附属医院,18,男,办公室职员,华东,丧偶,0,30000,追尾事故,2023-04-14,夏,日间,雪,4,SUV,338292,交强险,20034,1,2,10602,0,7256,12194,0,0,4652,24102,1000,23102,3,2,0,1,1,0,0,27,1.1531396625736248,0.07124614238586784,0,0,0,1
CLAIM00000800,1,,黄霞丽,15031667713,长沙市鼓楼区黄河路35号,6221822084748193,第一人民医院,54,女,企业高管,华东,已婚,28,47250,翻滚事故,2023-08-28,秋,早高峰,雨,5,摩托车,93197,综合险,1968,1,2,-4808,1,6588,23863,1,5844,2972,39267,500,38767,9,3,1,0,1,0,0,4,19.69867886178862,0.421333304720109,0,0,0,2
